EventObject_id	Name	ObjectType	Reference	ReferenceType
1105170360822	1104750515367	gopher_id	AAFB02000149	accession
1105170360823	1104750507366	gopher_id	AAFB02000150	accession
1105170360824	1104750505981	gopher_id	AAFB02000151	accession
1105170360825	1104750510582	gopher_id	AAFB02000152	accession
1105170360826	1104750507692	gopher_id	AAFB02000153	accession
1105170360827	1104750515819	gopher_id	AAFB02000154	accession
1105170360828	1104750516041	gopher_id	AAFB02000155	accession
1105170360829	1104750512804	gopher_id	AAFB02000156	accession
1105170360830	1104750515059	gopher_id	AAFB02000157	accession
1105170360831	1104750515691	gopher_id	AAFB02000158	accession
1105170360832	1104750513490	gopher_id	AAFB02000159	accession
1105170360833	1104750508834	gopher_id	AAFB02000160	accession
1105170360834	1104750504745	gopher_id	AAFB02000161	accession
1105170360835	1104750507776	gopher_id	AAFB02000162	accession
1105170360836	1104750508410	gopher_id	AAFB02000163	accession
1105170360837	1104750507208	gopher_id	AAFB02000164	accession
1105170360838	1104750508306	gopher_id	AAFB02000165	accession
1105170360839	1104750507474	gopher_id	AAFB02000166	accession
1105170360840	1104750504951	gopher_id	AAFB02000167	accession
1105170360841	1104750504807	gopher_id	AAFB02000168	accession
1105170360842	1104750507892	gopher_id	AAFB02000169	accession
1105170360843	1104750511690	gopher_id	AAFB02000170	accession
1105170360844	1104750513008	gopher_id	AAFB02000171	accession
1105170360845	1104750505147	gopher_id	AAFB02000172	accession
1105170360846	1104750515915	gopher_id	AAFB02000173	accession
1105170360847	1104750509082	gopher_id	AAFB02000174	accession
1105170360848	1104750508952	gopher_id	AAFB02000175	accession
1105170360849	1104750508928	gopher_id	AAFB02000176	accession
1105170360850	1104750507964	gopher_id	AAFB02000177	accession
1105170360851	1104750515991	gopher_id	AAFB02000178	accession
1105170360852	1104750507856	gopher_id	AAFB02000179	accession
1105170360853	1104750505765	gopher_id	AAFB02000180	accession
1105170360854	1104750507396	gopher_id	AAFB02000181	accession
1105170360855	1104750506859	gopher_id	AAFB02000182	accession
1105170360856	1104750511110	gopher_id	AAFB02000183	accession
1105170360857	1104750508204	gopher_id	AAFB02000184	accession
1105170360858	1104750507298	gopher_id	AAFB02000185	accession
1105170360859	1104750507944	gopher_id	AAFB02000186	accession
1105170360860	1104750507832	gopher_id	AAFB02000187	accession
1105170360861	1104750513238	gopher_id	AAFB02000188	accession
1105170360862	1104750513708	gopher_id	AAFB02000189	accession
1105170360863	1104750511516	gopher_id	AAFB02000190	accession
1105170360864	1104750516225	gopher_id	AAFB02000191	accession
1105170360865	1104750512992	gopher_id	AAFB02000192	accession
1105170360866	1104750512870	gopher_id	AAFB02000193	accession
1105170360867	1104750515515	gopher_id	AAFB02000194	accession
1105170360868	1104750506219	gopher_id	AAFB02000195	accession
1105170360869	1104750513662	gopher_id	AAFB02000196	accession
1105170360870	1104750515209	gopher_id	AAFB02000197	accession
1105170360871	1104750513060	gopher_id	AAFB02000198	accession
1105170360872	1104750505961	gopher_id	AAFB02000199	accession
1105170360873	1104750504839	gopher_id	AAFB02000200	accession
1105170360874	1104750505475	gopher_id	AAFB02000201	accession
1105170360875	1104750515051	gopher_id	AAFB02000202	accession
1105170360876	1104750515997	gopher_id	AAFB02000203	accession
1105170360877	1104750507130	gopher_id	AAFB02000204	accession
1105170360878	1104750515035	gopher_id	AAFB02000205	accession
1105170360879	1104750507818	gopher_id	AAFB02000206	accession
1105170360880	1104750508960	gopher_id	AAFB02000207	accession
1105170360881	1104750516149	gopher_id	AAFB02000208	accession
1105170360882	1104750505643	gopher_id	AAFB02000209	accession
1105170360883	1104750508774	gopher_id	AAFB02000210	accession
1105170360884	1104750516009	gopher_id	AAFB02000211	accession
1105170360885	1104750515491	gopher_id	AAFB02000212	accession
1105170360886	1104750507306	gopher_id	AAFB02000213	accession
1105170360887	1104750516077	gopher_id	AAFB02000214	accession
1105170360888	1104750512160	gopher_id	AAFB02000215	accession
1105170360889	1104750514046	gopher_id	AAFB02000216	accession
1105170360890	1104750512492	gopher_id	AAFB02000217	accession
1105170360891	1104750507734	gopher_id	AAFB02000218	accession
1105170360892	1104750514511	gopher_id	AAFB02000219	accession
1105170360893	1104750515313	gopher_id	AAFB02000220	accession
1105170360894	1104750510330	gopher_id	AAFB02000221	accession
1105170360895	1104750516029	gopher_id	AAFB02000222	accession
1105170360896	1104750505463	gopher_id	AAFB02000223	accession
1105170360897	1104750507708	gopher_id	AAFB02000224	accession
1105170360898	1104750508234	gopher_id	AAFB02000225	accession
1105170360899	1104750504877	gopher_id	AAFB02000226	accession
1105170360900	1104750512904	gopher_id	AAFB02000227	accession
1105170360901	1104750515751	gopher_id	AAFB02000228	accession
1105170360902	1104750513828	gopher_id	AAFB02000229	accession
1105170360903	1104750507044	gopher_id	AAFB02000230	accession
1105170360904	1104750514997	gopher_id	AAFB02000231	accession
1105170360905	1104750513320	gopher_id	AAFB02000232	accession
1105170360906	1104750510060	gopher_id	AAFB02000233	accession
1105170360907	1104750515345	gopher_id	AAFB02000234	accession
1105170360908	1104750504909	gopher_id	AAFB02000235	accession
1105170360909	1104750505009	gopher_id	AAFB02000236	accession
